CVE_ENT,ENTIDAD,CODIGO,UNI_ECON2020,UNI_ECON2019
21,PUEBLA,51,1050,748
21,PUEBLA,52,3643,2759
21,PUEBLA,53,3899,3778
21,PUEBLA,54,5372,5348
21,PUEBLA,55,5,14
21,PUEBLA,56,4958,4920
21,PUEBLA,61,8254,8006
21,PUEBLA,62,12272,12210
21,PUEBLA,71,3610,3851
21,PUEBLA,72,39406,38977
21,PUEBLA,81,44667,44412
22,QUERÉTARO                               ,21,120,117
22,QUERÉTARO                               ,22,91,86
22,QUERÉTARO                               ,23,657,586
22,QUERÉTARO                               ,31-33,8145,8093
22,QUERÉTARO                               ,43,3826,3738
22,QUERÉTARO                               ,46,37073,36187
22,QUERÉTARO                               ,48-49,782,688
22,QUERÉTARO                               ,51,378,253
22,QUERÉTARO                               ,52,2286,1900
22,QUERÉTARO                               ,53,1511,1452
22,QUERÉTARO                               ,54,2573,2582
22,QUERÉTARO                               ,55,12,9
22,QUERÉTARO                               ,56,1712,1625
22,QUERÉTARO                               ,61,2396,2272
22,QUERÉTARO                               ,62,5008,4983
22,QUERÉTARO                               ,71,961,1025
22,QUERÉTARO                               ,72,13161,12981
22,QUERÉTARO                               ,81,12928,12831
23,QUINTANA ROO,21,6,3
23,QUINTANA ROO,22,114,89
23,QUINTANA ROO,23,401,339
23,QUINTANA ROO,31-33,3532,3533
23,QUINTANA ROO,43,1730,1668
23,QUINTANA ROO,46,25518,23756
23,QUINTANA ROO,48-49,476,410
23,QUINTANA ROO,51,318,212
23,QUINTANA ROO,52,2747,2319
23,QUINTANA ROO,53,1427,1364
23,QUINTANA ROO,54,1474,1442
23,QUINTANA ROO,55,7,10
23,QUINTANA ROO,56,1505,1425
23,QUINTANA ROO,61,1824,1729
23,QUINTANA ROO,62,2307,2308
23,QUINTANA ROO,71,1005,1046
23,QUINTANA ROO,72,11535,11275
23,QUINTANA ROO,81,10572,10457
24,SAN LUIS POTOSÍ        ,21,154,126
24,SAN LUIS POTOSÍ        ,22,287,274
24,SAN LUIS POTOSÍ        ,23,753,698
24,SAN LUIS POTOSÍ        ,31-33,10499,10451
24,SAN LUIS POTOSÍ        ,43,3859,3787
24,SAN LUIS POTOSÍ        ,46,44558,43902
24,SAN LUIS POTOSÍ        ,48-49,859,762
24,SAN LUIS POTOSÍ        ,51,476,358
24,SAN LUIS POTOSÍ        ,52,1889,1480
24,SAN LUIS POTOSÍ        ,53,1961,1929
24,SAN LUIS POTOSÍ        ,54,2341,2348
24,SAN LUIS POTOSÍ        ,55,4,7
24,SAN LUIS POTOSÍ        ,56,1781,1750
24,SAN LUIS POTOSÍ        ,61,3206,3087
24,SAN LUIS POTOSÍ        ,62,5188,5198
24,SAN LUIS POTOSÍ        ,71,1384,1455
24,SAN LUIS POTOSÍ        ,72,15750,15655
24,SAN LUIS POTOSÍ        ,81,17046,16951
25,SINALOA,21,71,52
25,SINALOA,22,248,226
25,SINALOA,23,953,930
25,SINALOA,31-33,11634,11538
25,SINALOA,43,4492,4356
25,SINALOA,46,43392,41260
25,SINALOA,48-49,1104,985
25,SINALOA,51,514,311
25,SINALOA,52,3011,2380
25,SINALOA,53,2170,2120
25,SINALOA,54,2707,2697
25,SINALOA,55,13,14
25,SINALOA,56,1461,1387
25,SINALOA,61,3530,3383
25,SINALOA,62,6951,6930
25,SINALOA,71,1558,1598
25,SINALOA,72,15547,15321
25,SINALOA,81,21781,21571
26,SONORA,21,200,130
26,SONORA,22,330,318
26,SONORA,23,1205,1144
26,SONORA,31-33,12657,12566
26,SONORA,43,4320,4228
26,SONORA,46,38357,36671
26,SONORA,48-49,1391,1225
26,SONORA,51,705,456
26,SONORA,52,3446,2871
26,SONORA,53,2301,2266
26,SONORA,54,3202,3155
26,SONORA,55,11,4
26,SONORA,56,1373,1289
26,SONORA,61,3886,3765
26,SONORA,62,6150,6093
26,SONORA,71,1348,1431
26,SONORA,72,13376,13198
26,SONORA,81,22090,21944
27,TABASCO,21,64,23
27,TABASCO,22,357,346
27,TABASCO,23,499,465
27,TABASCO,31-33,7265,7603
27,TABASCO,43,2205,2164
27,TABASCO,46,31518,30284
27,TABASCO,48-49,612,596
27,TABASCO,51,382,277
27,TABASCO,52,1656,1249
27,TABASCO,53,995,966
27,TABASCO,54,1575,1574
27,TABASCO,55,6,4
27,TABASCO,56,1378,1301
27,TABASCO,61,2042,1984
27,TABASCO,62,3530,3526
27,TABASCO,71,971,1016
27,TABASCO,72,12425,11959
27,TABASCO,81,14344,14181
28,TAMAULIPAS,21,62,20
28,TAMAULIPAS,22,264,247
28,TAMAULIPAS,23,898,876
28,TAMAULIPAS,31-33,9354,9362
28,TAMAULIPAS,43,3115,3048
28,TAMAULIPAS,46,49877,49028
28,TAMAULIPAS,48-49,2320,2142
28,TAMAULIPAS,51,554,339
28,TAMAULIPAS,52,3942,3262
28,TAMAULIPAS,53,2025,1989
28,TAMAULIPAS,54,2524,2547
28,TAMAULIPAS,55,10,7
28,TAMAULIPAS,56,1399,1335
28,TAMAULIPAS,61,4160,4025
28,TAMAULIPAS,62,6367,6357
28,TAMAULIPAS,71,1625,1709
28,TAMAULIPAS,72,15640,15576
28,TAMAULIPAS,81,26712,26632
29,TLAXCALA,21,12,11
29,TLAXCALA,22,166,171
29,TLAXCALA,23,200,210
29,TLAXCALA,31-33,12761,12660
29,TLAXCALA,43,2048,2050
29,TLAXCALA,46,37231,36416
29,TLAXCALA,48-49,271,250
29,TLAXCALA,51,265,210
29,TLAXCALA,52,665,501
29,TLAXCALA,53,1020,994
29,TLAXCALA,54,1018,1005
29,TLAXCALA,56,1172,1150
29,TLAXCALA,61,1904,1842
29,TLAXCALA,62,2673,2656
29,TLAXCALA,71,1004,1073
29,TLAXCALA,72,8425,8267
29,TLAXCALA,81,10616,10492
30,VERACRUZ DE IGNACIO DE LA LLAVE,21,99,63
30,VERACRUZ DE IGNACIO DE LA LLAVE,22,536,532
30,VERACRUZ DE IGNACIO DE LA LLAVE,23,1216,1137
30,VERACRUZ DE IGNACIO DE LA LLAVE,31-33,30457,30673
30,VERACRUZ DE IGNACIO DE LA LLAVE,43,8046,7796
30,VERACRUZ DE IGNACIO DE LA LLAVE,46,132360,129542
30,VERACRUZ DE IGNACIO DE LA LLAVE,48-49,2132,1916
30,VERACRUZ DE IGNACIO DE LA LLAVE,51,1325,974
30,VERACRUZ DE IGNACIO DE LA LLAVE,52,5503,4062
30,VERACRUZ DE IGNACIO DE LA LLAVE,53,3400,3336
30,VERACRUZ DE IGNACIO DE LA LLAVE,54,5122,5066
30,VERACRUZ DE IGNACIO DE LA LLAVE,55,14,13
30,VERACRUZ DE IGNACIO DE LA LLAVE,56,4414,4321
30,VERACRUZ DE IGNACIO DE LA LLAVE,61,10142,9896
30,VERACRUZ DE IGNACIO DE LA LLAVE,62,13090,12983
30,VERACRUZ DE IGNACIO DE LA LLAVE,71,3544,3731
30,VERACRUZ DE IGNACIO DE LA LLAVE,72,48858,48459
30,VERACRUZ DE IGNACIO DE LA LLAVE,81,50860,50480
31,YUCATÁN       ,21,39,29
31,YUCATÁN       ,22,222,211
31,YUCATÁN       ,23,938,853
31,YUCATÁN       ,31-33,27245,27293
31,YUCATÁN       ,43,3420,3339
31,YUCATÁN       ,46,41345,39356
31,YUCATÁN       ,48-49,638,638
31,YUCATÁN       ,51,519,367
31,YUCATÁN       ,52,2316,1889
31,YUCATÁN       ,53,1875,1832
31,YUCATÁN       ,54,2349,2327
31,YUCATÁN       ,55,9,10
31,YUCATÁN       ,56,1602,1519
31,YUCATÁN       ,61,3640,3502
31,YUCATÁN       ,62,5144,5119
31,YUCATÁN       ,71,1718,1789
31,YUCATÁN       ,72,17339,17180
31,YUCATÁN       ,81,17363,17297
32,ZACATECAS,21,128,88
32,ZACATECAS,22,163,179
32,ZACATECAS,23,382,365
32,ZACATECAS,31-33,6437,6399
32,ZACATECAS,43,2117,2057
32,ZACATECAS,46,28439,27997
32,ZACATECAS,48-49,457,424
32,ZACATECAS,51,395,270
32,ZACATECAS,52,890,691
32,ZACATECAS,53,1080,1056
32,ZACATECAS,54,1337,1313
32,ZACATECAS,56,822,809
32,ZACATECAS,61,1764,1691
32,ZACATECAS,62,3672,3637
32,ZACATECAS,71,1167,1212
32,ZACATECAS,72,8567,8474
32,ZACATECAS,81,10437,10328
